year,rate,total.pop,fert
1960,48.29,89608,6.928
1961,47.618,97727,6.91
1962,46.86,108774,6.893
1963,46.02,121574,6.877
1964,45.097,134411,6.861
1965,44.058,146341,6.841
1966,42.856,156890,6.816
1967,41.478,167360,6.783
1968,39.942,180762,6.738
1969,38.293,201157,6.679
1970,36.598,231529,6.605
1971,34.934,272211,6.512
1972,33.382,322439,6.402
1973,32.015,382599,6.279
1974,30.883,452848,6.146
1975,30.041,532742,6.009
1976,29.523,623450,5.873
1977,29.288,723617,5.744
1978,29.275,827191,5.624
1979,29.429,926112,5.517
1980,29.681,1014825,5.423
1981,29.958,1090660,5.344
1982,30.186,1155765,5.274
1983,30.299,1215380,5.209
1984,30.244,1277300,5.141
1985,29.979,1347218,5.065
1986,29.481,1426915,4.973
1987,28.788,1514798,4.86
1988,27.941,1609170,4.724
1989,26.967,1707085,4.566
1990,25.892,1806498,4.388
1991,24.746,1908002,4.193
1992,23.566,2012977,3.989
1993,22.396,2121143,3.784
1994,21.275,2232159,3.583
1995,20.238,2346305,3.393
1996,19.309,2470810,3.215
1997,18.488,2608993,3.052
1998,17.778,2753498,2.902
1999,17.189,2893648,2.766
2000,16.738,3026352,2.644
2001,16.438,3132104,2.532
2002,16.274,3223969,2.428
2003,16.218,3369254,2.329
2004,16.24,3658658,2.236
2005,16.302,4148883,2.149
2006,16.365,4875639,2.071
2007,16.395,5797347,2.004
2008,16.357,6798635,1.948
2009,16.224,7718319,1.903
2010,15.969,8441537,1.868
2011,15.578,8925096,1.841
2012,15.069,9205651,1.82
2013,,9346129,
2014,,,
